keys,en,es,es_MX,ja,de,fr,it,pt
SNATCH_DESC,Steals the effects of stat-raising or healing moves the foe attempts to use.,Roba los efectos de movimientos de mejora de estadísticas o curativos del rival.,Roba los efectos de movimientos de mejora de estadísticas o curativos del rival.,相手が使おうとした能力上昇や回復効果のある技を横取りして自分が使う。,Stiehlt die Effekte von statusssteigernden oder heilenden Zügen des Gegners.,Vole les effets des mouvements améliorant les stats ou soignants du foe.,Ruba gli effetti delle mosse che aumentano le statistiche o curano del nemico.,Rouba os efeitos de movimentos de melhoria de estatísticas ou curativos do adversário.
SECRET_POWER_DESC,Attacks with a force that may cause a secondary effect depending on the terrain.,Ataca con una fuerza cuyo efecto secundario varía según el terreno.,Ataca con una fuerza cuyo efecto secundario varía según el terreno.,周りの環境に応じた副効果で相手を攻撃する。,"Greift mit einer Kraft an, deren Nebeneffekt je nach Terrain variiert.",Attaque avec une force dont l'effet secondaire varie selon le terrain.,Attacca con una forza il cui effetto secondario varia in base al terreno.,Ataca com uma força cujo efeito secundário varia de acordo com o terreno.
DIVE_DESC,"Dives underwater on turn 1, then attacks on turn 2. Can also dive in deep water on the field.",Se sumerge en el turno 1 y ataca en el turno 2. Permite bucear en aguas profundas.,Se sumerge en el turno 1 y ataca en el turno 2. Permite bucear en aguas profundas.,1ターン目に水中に潜り、2ターン目に飛び出して攻撃する。深い水の中を移動することもできる。,Taucht in Runde 1 unter und greift in Runde 2 an. Kann auch tief tauchen.,Plonge au tour 1 et attaque au tour 2. Peut aussi naviguer dans les eaux profondes.,Si immerge al turno 1 e attacca al turno 2. Può anche immergersi in acque profonde.,Mergulha no turno 1 e ataca no turno 2. Também pode mergulhar em águas profundas.
ARM_THRUST_DESC,Pushes the foe with open palms 2 to 5 times in a row.,Empuja al rival con las palmas abiertas de 2 a 5 veces.,Empuja al rival con las palmas abiertas de 2 a 5 veces.,手のひらで相手を2〜5回連続して突き飛ばす。,Schiebt den Gegner 2 bis 5 Mal mit offenen Handflächen.,Pousse le foe avec les paumes ouvertes de 2 à 5 fois.,Spinge il nemico con i palmi aperti da 2 a 5 volte.,Empurra o adversário com as palmas abertas de 2 a 5 vezes.
CAMOUFLAGE_DESC,Changes the user's type to match the terrain.,Cambia el tipo del usuario para adaptarse al terreno.,Cambia el tipo del usuario para adaptarse al terreno.,自分のタイプをいる場所に合わせて変える。,Ändert den Typ des Anwenders entsprechend dem Terrain.,Change le type de l'utilisateur pour s'adapter au terrain.,Cambia il tipo dell'utente per adattarsi al terreno.,Muda o tipo do usuário para se adaptar ao terreno.
TAIL_GLOW_DESC,"Glows intensely, sharply raising the user's Sp. Atk.","Brilla intensamente, subiendo drásticamente el Ataque Especial del usuario.","Brilla intensamente, subiendo drásticamente el Ataque Especial del usuario.",体を光らせて特攻をぐーんと上げる。,Leuchtet intensiv auf und erhöht den Sp. Angriff des Anwenders stark.,"Brille intensément, augmentant fortement l'Att. Spé. de l'utilisateur.","Brilla intensamente, aumentando drasticamente l'Att. Spec. dell'utente.","Brilha intensamente, aumentando drasticamente o At. Especial do usuário."
LUSTER_PURGE_DESC,Fires a burst of light that may lower the foe's Sp. Def.,Dispara un estallido de luz que puede bajar la Def. Especial del rival.,Dispara un estallido de luz que puede bajar la Def. Especial del rival.,輝く光を放って相手の特防を下げることがある。,"Feuert einen Lichtausbruch, der die Sp. Verteidigung des Gegners senken kann.",Tire un éclair de lumière qui peut réduire la Déf. Spé. du foe.,Spara un lampo di luce che può abbassare la Dif. Spec. del nemico.,Dispara um clarão de luz que pode reduzir a Def. Especial do adversário.
MIST_BALL_DESC,Hurls a mist-like ball that may lower the foe's Sp. Atk.,Lanza una bola de niebla que puede bajar el Ataque Especial del rival.,Lanza una bola de niebla que puede bajar el Ataque Especial del rival.,霞のようなボールを投げつけて相手の特攻を下げることがある。,"Wirft einen Nebelball, der den Sp. Angriff des Gegners senken kann.",Lance une balle de brume qui peut réduire l'Att. Spé. du foe.,Lancia una sfera di nebbia che può abbassare l'Att. Spec. del nemico.,Lança uma bola de névoa que pode reduzir o At. Especial do adversário.
FEATHER_DANCE_DESC,Envelops the foe in feathers to sharply lower its Attack.,Envuelve al rival en plumas para bajar drásticamente su Ataque.,Envuelve al rival en plumas para bajar drásticamente su Ataque.,羽を舞い散らせて相手の攻撃をぐーんと下げる。,Hüllt den Gegner in Federn und senkt seinen Angriff stark.,Enveloppe le foe de plumes pour réduire fortement son Attaque.,Avvolge il nemico in piume per abbassare drasticamente il suo Attacco.,Envolve o adversário em penas para reduzir drasticamente seu Ataque.
TEETER_DANCE_DESC,Dances to confuse all adjacent Pokémon.,Baila para confundir a todos los Pokémon adyacentes.,Baila para confundir a todos los Pokémon adyacentes.,おかしなダンスを踊って周りの全員を混乱状態にする。,Tanzt und verwirrt alle benachbarten Pokémon.,Danse pour confondre tous les Pokémon adjacents.,Balla per confondere tutti i Pokémon adiacenti.,Dança para confundir todos os Pokémon adjacentes.
BLAZE_KICK_DESC,Kicks the foe with great heat. High critical-hit ratio. May burn.,Golpea al rival con una patada de fuego. Alta tasa de crítico. Puede quemar.,Golpea al rival con una patada de fuego. Alta tasa de crítico. Puede quemar.,炎の蹴りで相手を攻撃する。急所に当たりやすく、やけど状態にすることがある。,Trifft den Gegner mit einem Feuertritt. Hohe kritische Rate. Kann verbrennen.,Frappe avec un coup de pied enflammé. Fort taux de critique. Peut brûler.,Colpisce con un calcio di fuoco. Alta probabilità di critico. Può scottare.,Golpeia com um chute de fogo. Alta taxa de crítico. Pode queimar.
MUD_SPORT_DESC,Kicks up mud to weaken Electric-type moves for 5 turns.,Chapotea en barro para debilitar los movimientos de tipo Eléctrico durante 5 turnos.,Chapotea en barro para debilitar los movimientos de tipo Eléctrico durante 5 turnos.,泥の中で暴れ回って5ターンの間でんきタイプの技を弱体化させる。,Plantschmt im Schlamm und schwächt Elektro-Attacken für 5 Runden.,Patauges dans la boue pour affaiblir les mouvements Électrik pendant 5 tours.,Sguazza nel fango per indebolire le mosse Elettro per 5 turni.,Esguicha na lama para enfraquecer movimentos Elétrico por 5 turnos.
ICE_BALL_DESC,"Rolls an ice ball at the foe for 5 turns, doubling in power each turn.",Lanza una bola de hielo durante 5 turnos doblando el poder cada turno.,Lanza una bola de hielo durante 5 turnos doblando el poder cada turno.,5ターンの間氷の玉を転がして攻撃する。毎ターン威力が倍になる。,Rollt 5 Runden lang einen Eisball und verdoppelt jede Runde die Kraft.,Lance une balle de glace 5 tours en doublant de puissance à chaque tour.,"Lancia una palla di ghiaccio per 5 turni, raddoppiando di potenza ogni turno.",Lança uma bola de gelo por 5 turnos dobrando de poder a cada turno.
NEEDLE_ARM_DESC,Strikes with thorny arms. May cause flinching.,Golpea con brazos espinosos. Puede hacer retroceder al rival.,Golpea con brazos espinosos. Puede hacer retroceder al rival.,とげのついた腕で相手を打つ。ひるませることがある。,Schlägt mit dornigen Armen. Kann zum Zucken führen.,Frappe avec des bras épineux. Peut faire reculer le foe.,Colpisce con braccia spinose. Può far arretrare il nemico.,Golpeia com braços espinhosos. Pode causar recuo no adversário.
SLACK_OFF_DESC,Restores up to half the user's maximum HP by slacking off.,Recupera hasta la mitad de los PS máximos del usuario holgazaneando.,Recupera hasta la mitad de los PS máximos del usuario holgazaneando.,なまけてHPを最大の半分まで回復する。,Stellt durch Faulenzen bis zur Hälfte der maximalen KP wieder her.,Récupère jusqu'à la moitié des PV max en flemmardant.,Recupera fino alla metà dei PS massimi poltrendo.,Recupera até metade dos PS máximos preguiçando.
HYPER_VOICE_DESC,Lets out a loud cry to attack. Hits all adjacent foes.,Emite un grito poderoso que daña. Golpea a todos los rivales adyacentes.,Emite un grito poderoso que daña. Golpea a todos los rivales adyacentes.,大きな鳴き声を上げて相手を攻撃する。隣接した相手全員に当たる。,"Emittiert einen lauten Schrei, der Schaden verursacht. Trifft alle benachbarten Gegner.",Émet un cri puissant qui blesse. Frappe tous les foes adjacents.,Emette un grido potente che danneggia. Colpisce tutti i nemici adiacenti.,Emite um grito poderoso que causa dano. Atinge todos os adversários adjacentes.
POISON_FANG_DESC,Bites with venomous fangs. May badly poison the foe.,Muerde con colmillos venenosos. Puede envenenar gravemente al rival.,Muerde con colmillos venenosos. Puede envenenar gravemente al rival.,毒の牙でかみつく。ひどいどく状態にすることがある。,Beißt mit giftigen Zähnen. Kann den Gegner stark vergiften.,Mord avec des crocs venimeux. Peut gravement empoisonner le foe.,Morde con zanne velenose. Può avvelenare gravemente il nemico.,Morde com presas venenosas. Pode envenenar gravemente o adversário.
CRUSH_CLAW_DESC,Tears at the foe with sharp claws. May lower the foe's Defense.,Desgarra al rival con garras afiladas. Puede bajar la Defensa del rival.,Desgarra al rival con garras afiladas. Puede bajar la Defensa del rival.,鋭い爪で相手を引き裂く。相手の防御を下げることがある。,Zerreißt den Gegner mit scharfen Klauen. Kann seine Verteidigung senken.,Déchire le foe avec des griffes acérées. Peut réduire sa Défense.,Lacera il nemico con artigli affilati. Può abbassarne la Difesa.,Rasga o adversário com garras afiadas. Pode reduzir sua Defesa.
BLAST_BURN_DESC,Releases a devastating Fire-type attack. The user must rest the next turn.,Lanza un devastador ataque de Fuego. El usuario necesita descansar el turno siguiente.,Lanza un devastador ataque de Fuego. El usuario necesita descansar el turno siguiente.,最大威力の炎で相手を攻撃する。次のターンは動けなくなる。,Entfesselt einen verheerenden Feuerangriff. Der Anwender muss sich im nächsten Zug erholen.,Lance une attaque de Feu dévastatrice. L'utilisateur doit se reposer le tour suivant.,Lancia un devastante attacco Fuoco. L'utente deve riposare il turno successivo.,Lança um devastador ataque de Fogo. O usuário precisa descansar no próximo turno.
HYDRO_CANNON_DESC,Fires a torrent of water. The user must rest the next turn.,Dispara un torrente de agua. El usuario necesita descansar el turno siguiente.,Dispara un torrente de agua. El usuario necesita descansar el turno siguiente.,大量の水を激しく打ち出す。次のターンは動けなくなる。,Feuert einen Torrente Wasser. Der Anwender muss sich im nächsten Zug erholen.,Tire un torrent d'eau. L'utilisateur doit se reposer le tour suivant.,Spara un torrente d'acqua. L'utente deve riposare il turno successivo.,Dispara um torrente de água. O usuário precisa descansar no próximo turno.
METEOR_MASH_DESC,Punches with a meteor-like strike. May raise the user's Attack.,Golpea al rival como un meteorito. Puede subir el Ataque del usuario.,Golpea al rival como un meteorito. Puede subir el Ataque del usuario.,隕石のような一撃で相手を打つ。自分の攻撃が上がることがある。,Trifft den Gegner wie ein Meteor. Kann den Angriff des Anwenders erhöhen.,Frappe le foe comme un météore. Peut augmenter l'Attaque de l'utilisateur.,Colpisce il nemico come un meteorite. Può aumentare l'Attacco dell'utente.,Golpeia o adversário como um meteorito. Pode aumentar o Ataque do usuário.
ASTONISH_DESC,Attacks with a startling cry that may cause flinching.,Ataca con un grito que sobresalta. Puede hacer retroceder al rival.,Ataca con un grito que sobresalta. Puede hacer retroceder al rival.,驚かせながら攻撃する。ひるませることがある。,Greift mit einem erschreckenden Schrei an. Kann zum Zucken führen.,Attaque avec un cri effrayant. Peut faire reculer le foe.,Attacca con un grido che sorprende. Può far arretrare il nemico.,Ataca com um grito que assusta. Pode causar recuo no adversário.
WEATHER_BALL_DESC,Changes type and doubles in power when weather is active.,Cambia de tipo y dobla su poder cuando hay clima activo.,Cambia de tipo y dobla su poder cuando hay clima activo.,天気に応じてタイプが変わり、天気が変わっているときは威力が2倍になる。,Ändert Typ und verdoppelt Kraft bei aktivem Wetter.,Change de type et double de puissance lorsque la météo est active.,Cambia tipo e raddoppia di potenza quando il meteo è attivo.,Muda de tipo e dobra de poder quando há clima ativo.
AROMATHERAPY_DESC,Releases a soothing scent that cures all status conditions in the party.,Libera un aroma sanador que cura todas las condiciones de estado del equipo.,Libera un aroma sanador que cura todas las condiciones de estado del equipo.,癒しのいい香りで自分と仲間のポケモンの状態異常をすべて治す。,"Verbreitet einen heilenden Duft, der alle Statusproblem des Teams heilt.",Libère un parfum guérisseur qui soigne tous les problèmes de statut du groupe.,Libera un aroma curativo che guarisce tutte le condizioni di stato del gruppo.,Libera um aroma curativo que cura todas as condições de estado do time.
FAKE_TEARS_DESC,Cries fake tears to sharply lower the foe's Sp. Def.,Llora lágrimas falsas para bajar drásticamente la Def. Especial del rival.,Llora lágrimas falsas para bajar drásticamente la Def. Especial del rival.,うその涙を流して相手の特防をぐーんと下げる。,Weint falsche Tränen und senkt die Sp. Verteidigung des Gegners stark.,Pleure de fausses larmes pour réduire fortement la Déf. Spé. du foe.,Piange lacrime false per abbassare drasticamente la Dif. Spec. del nemico.,Chora lágrimas falsas para reduzir drasticamente a Def. Especial do adversário.
AIR_CUTTER_DESC,Slices with sharp wings. High critical-hit ratio. Hits all adjacent foes.,Corta con alas afiladas. Alta tasa de crítico. Golpea a todos los rivales adyacentes.,Corta con alas afiladas. Alta tasa de crítico. Golpea a todos los rivales adyacentes.,するどい翼で切りつける。急所に当たりやすい。隣接した相手全員に当たる。,Schneidet mit scharfen Flügeln. Hohe kritische Rate. Trifft alle benachbarten Gegner.,Coupe avec des ailes acérées. Fort taux de critique. Frappe tous les foes adjacents.,Taglia con ali affilate. Alta probabilità di critico. Colpisce tutti i nemici adiacenti.,Corta com asas afiadas. Alta taxa de crítico. Atinge todos os adversários adjacentes.
OVERHEAT_DESC,"Attacks with intense heat, but sharply lowers the user's Sp. Atk.","Ataca con un intenso calor, pero baja drásticamente el Ataque Especial del usuario.","Ataca con un intenso calor, pero baja drásticamente el Ataque Especial del usuario.",激しい炎で攻撃するが、自分の特攻がぐーんと下がる。,"Greift mit intensiver Hitze an, senkt aber den Sp. Angriff des Anwenders stark.","Attaque avec une chaleur intense, mais réduit fortement l'Att. Spé. de l'utilisateur.","Attacca con calore intenso, ma abbassa drasticamente l'Att. Spec. dell'utente.","Ataca com calor intenso, mas reduz drasticamente o At. Especial do usuário."
ODOR_SLEUTH_DESC,"Identifies the foe, enabling Normal- and Fighting-type moves to hit Ghost-types.","Identifica al rival, permitiendo que los ataques Normal y Lucha golpeen a tipo Fantasma.","Identifica al rival, permitiendo que los ataques Normal y Lucha golpeen a tipo Fantasma.",臭いで相手の正体を見破る。ノーマルとかくとうタイプがゴーストタイプに当たるようにする。,"Identifiziert den Gegner per Geruch, damit Normal/Kampf Geist-Typen treffen.",Identifie le foe par l'odorat pour que Normal et Combat touchent les Spectre.,"Identifica il nemico con l'olfatto, permettendo a Normal e Lotta di colpire i Spettro.",Identifica o adversário pelo olfato para que Normal e Lutador atinjam o tipo Fantasma.
ROCK_TOMB_DESC,Buries the foe under rocks. Always lowers the foe's Speed.,Sepulta al rival bajo rocas. Siempre baja la Velocidad del rival.,Sepulta al rival bajo rocas. Siempre baja la Velocidad del rival.,岩で相手を埋めて攻撃する。必ず相手の素早さを下げる。,Begräbt den Gegner unter Felsen. Senkt immer die Geschwindigkeit des Gegners.,Ensevelit le foe sous des rochers. Réduit toujours la Vitesse du foe.,Seppellisce il nemico sotto rocce. Abbassa sempre la Velocità del nemico.,Sepulta o adversário sob pedras. Sempre reduz a Velocidade do adversário.
SILVER_WIND_DESC,Attacks with a silver gust of wind. May raise all of the user's stats.,Ataca con un viento plateado. Puede subir todas las estadísticas del usuario.,Ataca con un viento plateado. Puede subir todas las estadísticas del usuario.,銀色の粉を吹きつけて攻撃する。自分の全能力が上がることがある。,Greift mit Silberwind an. Kann alle Werte des Anwenders erhöhen.,Attaque avec un vent argenté. Peut augmenter toutes les stats de l'utilisateur.,Attacca con un vento argentato. Può aumentare tutte le statistiche dell'utente.,Ataca com um vento prateado. Pode aumentar todas as estatísticas do usuário.
METAL_SOUND_DESC,Emits a horrible metallic sound that sharply lowers the foe's Sp. Def.,Emite un sonido metálico horrible que baja drásticamente la Def. Especial del rival.,Emite un sonido metálico horrible que baja drásticamente la Def. Especial del rival.,いやなきしみ音を出して相手の特防をぐーんと下げる。,Gibt ein schreckliches Metallgeräusch ab und senkt die Sp. Verteidigung stark.,Émet un horrible son métallique réduisant fortement la Déf. Spé. du foe.,Emette un orribile suono metallico che abbassa drasticamente la Dif. Spec. del nemico.,Emite um horrível som metálico que reduz drasticamente a Def. Especial do adversário.
GRASS_WHISTLE_DESC,Plays a soothing melody on grass to put the foe to sleep.,Toca una melodía en hierba para dormir al rival.,Toca una melodía en hierba para dormir al rival.,草笛を吹いて相手をねむり状態にする。,"Spielt eine Melodie auf Gras, um den Gegner einzuschläfern.",Joue une mélodie sur de l'herbe pour endormir le foe.,Suona una melodia sull'erba per addormentare il nemico.,Toca uma melodia em erva para adormecer o adversário.
TICKLE_DESC,"Tickles the foe to make it laugh, lowering its Attack and Defense.",Hace cosquillas al rival para bajar su Ataque y Defensa.,Hace cosquillas al rival para bajar su Ataque y Defensa.,相手をくすぐって笑わせ、攻撃と防御を下げる。,"Kitzelt den Gegner, um seinen Angriff und seine Verteidigung zu senken.",Chatouille le foe pour réduire son Attaque et sa Défense.,Fa il solletico al nemico per abbassarne Attacco e Difesa.,Faz cócegas no adversário para reduzir seu Ataque e Defesa.
COSMIC_POWER_DESC,Absorbs a mystical power to raise the user's Defense and Sp. Def.,Absorbe un poder místico para subir la Defensa y la Def. Especial del usuario.,Absorbe un poder místico para subir la Defensa y la Def. Especial del usuario.,宇宙のパワーを吸収して防御と特防を上げる。,Absorbiert mystische Kraft und erhöht Verteidigung und Sp. Verteidigung.,Absorbe un pouvoir mystique pour augmenter Défense et Déf. Spé.,Assorbe un potere mistico per aumentare Difesa e Dif. Spec.,Absorve um poder místico para aumentar a Defesa e a Def. Especial do usuário.
WATER_SPOUT_DESC,"Fires water at all foes. The more HP the user has, the more powerful.","Dispara agua a todos los rivales. Cuantos más PS tenga el usuario, más poderoso.","Dispara agua a todos los rivales. Cuantos más PS tenga el usuario, más poderoso.",全員に水を吹きつけて攻撃する。自分のHPが多いほど威力が上がる。,"Feuert Wasser auf alle Gegner. Je mehr KP der Anwender hat, desto mächtiger.","Tire de l'eau sur tous les foes. Plus l'utilisateur a de PV, plus c'est puissant.","Spara acqua su tutti i nemici. Più PS ha l'utente, più è potente.","Dispara água em todos os adversários. Quanto mais PS o usuário tiver, mais poderoso."
SIGNAL_BEAM_DESC,Fires a strange beam that may confuse the foe.,Dispara un rayo extraño que puede confundir al rival.,Dispara un rayo extraño que puede confundir al rival.,不思議な光線を照射する。相手を混乱状態にすることがある。,"Feuert einen seltsamen Strahl, der den Gegner verwirren kann.",Tire un rayon étrange qui peut confondre le foe.,Spara un raggio strano che può confondere il nemico.,Dispara um raio estranho que pode confundir o adversário.
SHADOW_PUNCH_DESC,Throws a punch from the shadows that never misses.,Lanza un puño desde las sombras que nunca falla.,Lanza un puño desde las sombras que nunca falla.,影の中からパンチを繰り出す。必ず命中する。,"Wirft einen Schlag aus den Schatten, der nie verfehlt.",Lance un poing depuis les ombres. Ne rate jamais.,Lancia un pugno dalle ombre. Non manca mai.,Lança um soco das sombras que nunca erra.
EXTRASENSORY_DESC,Attacks with a peculiar power. May cause flinching.,Ataca con un poder peculiar. Puede hacer retroceder al rival.,Ataca con un poder peculiar. Puede hacer retroceder al rival.,不思議な力で相手を攻撃する。ひるませることがある。,Greift mit einer eigenartigen Kraft an. Kann zum Zucken führen.,Attaque avec un pouvoir singulier. Peut faire reculer le foe.,Attacca con un potere peculiare. Può far arretrare il nemico.,Ataca com um poder peculiar. Pode causar recuo no adversário.
SKY_UPPERCUT_DESC,An uppercut that can hit airborne foes.,Un uppercut que puede golpear a rivales en el aire.,Un uppercut que puede golpear a rivales en el aire.,アッパーカットで攻撃する。空中にいる相手にも当たる。,"Ein Aufwärtshaken, der fliegende Gegner treffen kann.",Un uppercut qui peut frapper les foes en vol.,Un uppercut che può colpire i nemici in volo.,Um uppercut que pode atingir adversários no ar.
SAND_TOMB_DESC,Traps the foe in a whirling sandstorm for 2 to 5 turns.,Atrapa al rival en un remolino de arena durante 2 a 5 turnos.,Atrapa al rival en un remolino de arena durante 2 a 5 turnos.,砂の竜巻で相手を捕らえて2〜5ターン攻撃し続ける。,Fängt den Gegner in einem Sandwirbel für 2 bis 5 Runden.,Piège le foe dans un tourbillon de sable pendant 2 à 5 tours.,Intrappola il nemico in un vortice di sabbia per 2-5 turni.,Prende o adversário em um turbilhão de areia por 2 a 5 turnos.
SHEER_COLD_DESC,An icy attack that freezes the foe solid. One-hit KO if it hits.,Un ataque helador que congela al rival. Es un golpe de KO inmediato si acierta.,Un ataque helador que congela al rival. Es un golpe de KO inmediato si acierta.,絶対零度の冷気で相手を凍らせる。当たれば一撃で倒す。,"Ein eisiger Angriff, der den Gegner einfriert. Ein-Treffer-KO wenn er trifft.",Une attaque glaciale qui congèle le foe. KO en un coup si cela touche.,Un attacco glaciale che congela il nemico. KO in un colpo se va a segno.,Um ataque gelado que congela o adversário. Derrota com um único golpe se acertar.
MUDDY_WATER_DESC,Attacks with muddy water that hits all foes. May lower accuracy.,Ataca con agua lodosa que golpea a todos los rivales. Puede bajar la Precisión.,Ataca con agua lodosa que golpea a todos los rivales. Puede bajar la Precisión.,濁流で相手全員を攻撃する。命中率を下げることがある。,"Greift mit Schlammwasser an, das alle Gegner trifft. Kann Genauigkeit senken.",Attaque avec de l'eau boueuse frappant tous les foes. Peut réduire la Précision.,Attacca con acqua fangosa che colpisce tutti i nemici. Può ridurre la Precisione.,Ataca com água lamacenta que atinge todos os adversários. Pode reduzir a Precisão.
BULLET_SEED_DESC,Fires 2 to 5 seeds at the foe in quick succession.,Dispara de 2 a 5 semillas al rival en rápida sucesión.,Dispara de 2 a 5 semillas al rival en rápida sucesión.,相手に向かって2〜5個の種を連続して打ち出す。,Feuert 2 bis 5 Samen in schneller Folge auf den Gegner.,Tire de 2 à 5 graines en succession rapide sur le foe.,Spara da 2 a 5 semi in rapida successione al nemico.,Dispara de 2 a 5 sementes no adversário em rápida sucessão.
AERIAL_ACE_DESC,Flies toward the foe at great speed. Never misses.,Vuela hacia el rival a gran velocidad. Nunca falla.,Vuela hacia el rival a gran velocidad. Nunca falla.,素早く相手に飛びかかる。必ず命中する。,Fliegt mit großer Geschwindigkeit auf den Gegner zu. Trifft immer.,Vole vers le foe à grande vitesse. Ne rate jamais.,Vola verso il nemico a grande velocità. Non manca mai.,Voa em direção ao adversário em grande velocidade. Nunca erra.
ICICLE_SPEAR_DESC,Stabs the foe 2 to 5 times with icy spears.,Pincha al rival de 2 a 5 veces con lanzas de hielo.,Pincha al rival de 2 a 5 veces con lanzas de hielo.,氷の槍で相手を2〜5回刺す。,Sticht den Gegner 2 bis 5 Mal mit Eislanzen.,Pique le foe de 2 à 5 fois avec des lances de glace.,Punge il nemico da 2 a 5 volte con lance di ghiaccio.,Perfura o adversário de 2 a 5 vezes com lanças de gelo.
IRON_DEFENSE_DESC,Hardens the body like iron to sharply raise Defense.,Endurece el cuerpo como el hierro para subir drásticamente la Defensa.,Endurece el cuerpo como el hierro para subir drásticamente la Defensa.,体を鉄のように硬くして防御をぐーんと上げる。,Verhärtet den Körper wie Eisen und erhöht die Verteidigung stark.,Durcit le corps comme du fer pour augmenter fortement la Défense.,Indurisce il corpo come il ferro per aumentare drasticamente la Difesa.,Endurece o corpo como ferro para aumentar drasticamente a Defesa.
BLOCK_DESC,"Blocks the foe's path, preventing it from fleeing or switching.",Bloquea el camino del rival impidiendo que huya o cambie.,Bloquea el camino del rival impidiendo que huya o cambie.,相手の行く手を塞いで逃げたり交代したりできなくさせる。,Blockiert den Weg des Gegners und verhindert Flucht oder Wechsel.,"Bloque le chemin du foe, l'empêchant de fuir ou changer.",Blocca la via del nemico impedendogli di fuggire o cambiare.,Bloqueia o caminho do adversário impedindo-o de fugir ou trocar.
HOWL_DESC,Howls to raise the user's and ally's Attack.,Aúlla para subir el Ataque del usuario y de sus aliados.,Aúlla para subir el Ataque del usuario y de sus aliados.,遠吠えをして自分と仲間の攻撃を上げる。,Heult und erhöht den Angriff des Anwenders und der Verbündeten.,Hurle pour augmenter l'Attaque de l'utilisateur et de ses alliés.,Ulula per aumentare l'Attacco dell'utente e dei suoi alleati.,Uiva para aumentar o Ataque do usuário e de seus aliados.
DRAGON_CLAW_DESC,Slashes the foe with sharp dragon claws.,Desgarra al rival con garras de dragón afiladas.,Desgarra al rival con garras de dragón afiladas.,鋭いドラゴンの爪で相手を切りつける。,Zerreißt den Gegner mit scharfen Drachenklauen.,Déchire le foe avec des griffes de dragon acérées.,Lacera il nemico con artigli di drago affilati.,Rasga o adversário com garras de dragão afiadas.
FRENZY_PLANT_DESC,Attacks with powerful tree roots. The user must rest the next turn.,Ataca con raíces poderosas. El usuario necesita descansar el turno siguiente.,Ataca con raíces poderosas. El usuario necesita descansar el turno siguiente.,大きな植物の根で相手を攻撃する。次のターンは動けなくなる。,Greift mit mächtigen Baumwurzeln an. Der Anwender muss sich im nächsten Zug erholen.,Attaque avec de puissantes racines. L'utilisateur doit se reposer le tour suivant.,Attacca con potenti radici. L'utente deve riposare il turno successivo.,Ataca com raízes poderosas. O usuário precisa descansar no próximo turno.
BULK_UP_DESC,Tenses the muscles to raise the user's Attack and Defense.,Tensa los músculos para subir el Ataque y la Defensa del usuario.,Tensa los músculos para subir el Ataque y la Defensa del usuario.,筋肉を鍛えて自分の攻撃と防御を上げる。,Spannt die Muskeln und erhöht Angriff und Verteidigung des Anwenders.,Contracte les muscles pour augmenter l'Attaque et la Défense de l'utilisateur.,Contrae i muscoli per aumentare Attacco e Difesa dell'utente.,Tensa os músculos para aumentar o Ataque e a Defesa do usuário.
BOUNCE_DESC,"Jumps into the air on turn 1, then attacks on turn 2. May paralyze.",Salta al aire en el turno 1 y ataca en el turno 2. Puede paralizar.,Salta al aire en el turno 1 y ataca en el turno 2. Puede paralizar.,1ターン目に高く跳び上がり、2ターン目に飛び降りて攻撃する。まひ状態にすることがある。,Springt in Runde 1 hoch und greift in Runde 2 an. Kann lähmen.,Saute en l'air au tour 1 et attaque au tour 2. Peut paralyser.,Salta in aria al turno 1 e attacca al turno 2. Può paralizzare.,Salta no ar no turno 1 e ataca no turno 2. Pode paralisar.
MUD_SHOT_DESC,Hurls a blob of mud that always lowers the foe's Speed.,Lanza una bola de barro que siempre baja la Velocidad del rival.,Lanza una bola de barro que siempre baja la Velocidad del rival.,泥の固まりを投げつけて必ず相手の素早さを下げる。,"Wirft einen Schlammklumpen, der immer die Geschwindigkeit des Gegners senkt.",Lance un bloc de boue qui réduit toujours la Vitesse du foe.,Lancia una pallottola di fango che abbassa sempre la Velocità del nemico.,Lança uma bola de lama que sempre reduz a Velocidade do adversário.
POISON_TAIL_DESC,Hits with a toxic tail. High critical-hit ratio. May badly poison.,Golpea con una cola tóxica. Alta tasa de crítico. Puede envenenary gravemente.,Golpea con una cola tóxica. Alta tasa de crítico. Puede envenenar gravemente.,毒のある尻尾で相手を攻撃する。急所に当たりやすく、ひどいどく状態にすることがある。,Schlägt mit einem giftigen Schweif. Hohe kritische Rate. Kann stark vergiften.,Frappe avec une queue toxique. Fort taux de critique. Peut gravement empoisonner.,Colpisce con una coda velenosa. Alta probabilità di critico. Può avvelenare gravemente.,Golpeia com uma cauda tóxica. Alta taxa de crítico. Pode envenenar gravemente.
COVET_DESC,Steals the foe's held item if the user has none.,Roba el objeto del rival si el usuario no lleva ninguno.,Roba el objeto del rival si el usuario no lleva ninguno.,相手の持ち物が欲しくて奪う。自分が持ち物を持っていない場合のみ。,"Stiehlt das Item des Gegners, falls der Anwender keins hat.",Vole l'objet du foe si l'utilisateur n'en a pas.,Ruba l'oggetto del nemico se l'utente non ne ha uno.,Rouba o item do adversário se o usuário não tiver nenhum.
